Age,Age Group,Age Group Description,Gender,Purchase Frequency,Purchase Categories,Recommendation Purchase Status,Browsing Frequency,Product Search Method,Search Result Exploration,Customer Reviews Importance,Add to Cart Browsing,Cart Completion Frequency,Cart Abandonment Factors,Saveforlater Frequency,Review Left,Review Reliability,Review Helpfulness,Personalized Recommendation Frequency ,Recommendation Helpfulness,Rating Accuracy ,Shopping Satisfaction,Service Appreciation,Improvement Areas
22,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Others,No,Few times a month,Others,Multiple pages,Extremely important,Yes,Rarely,Found a better price elsewhere,Often,No,Moderately,Sometimes,Rarely,Yes,Moderately accurate,Satisfied,User-friendly website/app interface,Product quality and accuracy
26,25 - 34,Young Professionals,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Categories,Multiple pages,Extremely important,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,No,Often,Yes,Mostly accurate,Satisfied,User-friendly website/app interface,Shipping speed and reliability
24,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,Very often,Yes,Highly accurate,Most satisfied,Wide product selection,Customer service responsiveness
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,Not important,Yes,Sometimes,High shipping costs,Always,No,Heavily,Yes,Seldom,Yes,Slightly accurate,Dissatisfied,Wide product selection,Product quality and accuracy
24,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,Moderately important ,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,Sometimes,Sometimes,Moderately accurate,Neutral,Product recommendations,Product quality and accuracy
23,18 - 24,Young Adults,Female,Few times a month,Others,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Always,No,Heavily,Yes,Seldom,Sometimes,Moderately accurate,Neutral,Wide product selection,Product quality and accuracy
24,18 - 24,Young Adults,Male,Few times a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Always,Changed my mind or no longer need the item,Often,No,Heavily,Yes,Very often,Yes,Highly accurate,Satisfied,User-friendly website/app interface,Product quality and accuracy
23,18 - 24,Young Adults,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,Rarely,No,Slightly accurate,Neutral,Competitive prices,Customer service responsiveness
25,25 - 34,Young Professionals,Male,Less than once a month,Others,Sometimes,Few times a week,Keyword,First page,Slightly important,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Product quality and accuracy
24,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Yes,Very often,Yes,Mostly accurate,Satisfied,User-friendly website/app interface,Shipping speed and reliability
21,18 - 24,Young Adults,Female,Few times a month,Home and Kitchen,No,Few times a month,Keyword,First page,Extremely important,Yes,Rarely,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,Very often,Sometimes,Moderately accurate,Most satisfied,User-friendly website/app interface,Reducing packaging waste
23,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,Extremely important,Maybe,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Reducing packaging waste
26,25 - 34,Young Professionals,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,Multiple pages,Extremely important,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,Seldom,Yes,Mostly accurate,Satisfied,Product recommendations,Shipping speed and reliability
23,18 - 24,Young Adults,Female,Few times a month,Clothing and Fashion;Others,Yes,Few times a week,Keyword,First page,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,Very often,Sometimes,Moderately accurate,Satisfied,Wide product selection,Product quality and accuracy
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,Slightly important,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,Sometimes,No,Moderately accurate,Neutral,Product recommendations,Reducing packaging waste
40,35 - 44,Established Professionals,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,Seldom,Sometimes,Mostly accurate,Most satisfied,Competitive prices,Reducing packaging waste
25,25 - 34,Young Professionals,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,Categories,Multiple pages,Not important,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Customer service responsiveness
24,18 - 24,Young Adults,Male,Once a month,Others,Sometimes,Few times a week,Keyword,Multiple pages,Slightly important,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,Seldom,Sometimes,Highly accurate,Satisfied,Wide product selection,Shipping speed and reliability
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,Slightly important,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Sometimes,Sometimes,Sometimes,Moderately accurate,Neutral,User-friendly website/app interface,Product quality and accuracy
24,18 - 24,Young Adults,Male,Less than once a month,Others,Sometimes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Never,Yes,Heavily,Yes,Often,Yes,Moderately accurate,Satisfied,User-friendly website/app interface,Shipping speed and reliability
24,18 - 24,Young Adults,Male,Less than once a month,Others,No,Few times a week,Categories,Multiple pages,Extremely important,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Product quality and accuracy
24,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Categories,First page,Moderately important ,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,Sometimes,Yes,Moderately accurate,Neutral,Product recommendations,Customer service responsiveness
26,25 - 34,Young Professionals,Male,Few times a month,Others,No,Few times a week,Keyword,Multiple pages,Slightly important,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,Yes,Sometimes,Yes,Moderately accurate,Dissatisfied,Competitive prices,Product quality and accuracy
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;Others,Sometimes,Few times a month,Categories,First page,Extremely important,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,Often,Sometimes,Moderately accurate,Neutral,Wide product selection,Product quality and accuracy
23,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Categories,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Most satisfied,Wide product selection,Product quality and accuracy
24,18 - 24,Young Adults,Female,Once a month,Others,Sometimes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,Sometimes,Yes,Moderately accurate,Satisfied,User-friendly website/app interface,Product quality and accuracy
23,18 - 24,Young Adults,Male,Less than once a month,Others,No,Few times a month,Keyword,First page,Extremely important,Maybe,Rarely,High shipping costs,Never,No,Moderately,Sometimes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Better app interface and lower shipping charges
24,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,Very often,Yes,Mostly accurate,Satisfied,Competitive prices,Product quality and accuracy
36,35 - 44,Established Professionals,Female,Once a month,Home and Kitchen;Others,Sometimes,Multiple times a day,Keyword,Multiple pages,Not important,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,No,Often,Sometimes,Moderately accurate,Most satisfied,User-friendly website/app interface,Shipping speed and reliability
26,25 - 34,Young Professionals,Male,Less than once a month,Home and Kitchen,No,Rarely,Filter,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,Very often,Yes,Mostly accurate,Most satisfied,Wide product selection,Product quality and accuracy
31,25 - 34,Young Professionals,Male,Once a month,Home and Kitchen;Others,No,Few times a month,Keyword,First page,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,Seldom,Sometimes,Moderately accurate,Most satisfied,Customer service,Reducing packaging waste
23,18 - 24,Young Adults,Male,Less than once a month,Others,No,Rarely,Categories,Multiple pages,Extremely important,Maybe,Often,Found a better price elsewhere,Never,No,Heavily,Yes,Often,No,Moderately accurate,Satisfied,User-friendly website/app interface,Reducing packaging waste
23,18 - 24,Young Adults,Female,Less than once a month,Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,Sometimes,Yes,Mostly accurate,Satisfied,Wide product selection,Product quality and accuracy
30,25 - 34,Young Professionals,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,Slightly important,Yes,Often,Found a better price elsewhere,Always,Yes,Moderately,Yes,Seldom,Yes,Slightly accurate,Dissatisfied,Product recommendations,Customer service responsiveness
24,18 - 24,Young Adults,Female,Less than once a month,Others,No,Rarely,Categories,Multiple pages,Very important,Yes,Sometimes,Found a better price elsewhere,Often,No,Moderately,Yes,Often,Sometimes,Mostly accurate,Satisfied,Wide product selection,Product quality and accuracy
58,>= 55,Seniors,Male,Once a month,Clothing and Fashion;Others,No,Few times a week,Keyword,Multiple pages,Not important,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Never,No,Seldom,No,Moderately accurate,Neutral,Competitive prices,Reducing packaging waste
53,45 - 54,Midlife Adults,Female,Less than once a month,Home and Kitchen,No,Few times a week,Keyword,Multiple pages,Moderately important ,No,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,Often,Yes,Mostly accurate,Most satisfied,Competitive prices,Reducing packaging waste
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Categories,Multiple pages,Extremely important,Maybe,Rarely,Found a better price elsewhere,Rarely,No,Occasionally,Yes,Often,Sometimes,Moderately accurate,Satisfied,User-friendly website/app interface,Shipping speed and reliability
32,25 - 34,Young Professionals,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Categories,First page,Slightly important,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,No,Moderately,Sometimes,Seldom,Sometimes,Slightly accurate,Dissatisfied,User-friendly website/app interface,Customer service responsiveness
20,18 - 24,Young Adults,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Categories,First page,Extremely important,No,Often,Found a better price elsewhere,Often,No,Occasionally,Sometimes,Sometimes,No,Moderately accurate,Neutral,Competitive prices,Reducing packaging waste
25,25 - 34,Young Professionals,Male,Few times a month,Others,No,Rarely,Others,Multiple pages,Extremely important,Maybe,Sometimes,Changed my mind or no longer need the item,Never,No,Moderately,Sometimes,Often,Sometimes,Mostly accurate,Neutral,Wide product selection,Product quality and accuracy
24,18 - 24,Young Adults,Female,Once a month,Beauty and Personal Care;Home and Kitchen;Others,No,Few times a week,Keyword,Multiple pages,Very important,Yes,Rarely,High shipping costs,Always,Yes,Moderately,Yes,Seldom,Sometimes,Moderately accurate,Dissatisfied,Wide product selection,Product quality and accuracy
62,>= 55,Seniors,Female,Less than once a month,Beauty and Personal Care,Sometimes,Rarely,Filter,Multiple pages,Moderately important ,Maybe,Sometimes,Found a better price elsewhere,Often,No,Never,Sometimes,Rarely,Yes,Slightly accurate,Neutral,User-friendly website/app interface,Shipping speed and reliability
27,25 - 34,Young Professionals,Male,Less than once a month,Others,No,Rarely,Others,First page,Slightly important,No,Never,Others,Never,No,Never,No,Rarely,No,Not accurate,Least satisfied,Competitive prices,Customer service responsiveness
40,35 - 44,Established Professionals,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Categories,Multiple pages,Very important,Maybe,Often,Found a better price elsewhere,Often,Yes,Occasionally,Sometimes,Often,No,Mostly accurate,Satisfied,Competitive prices,Shipping speed and reliability
24,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,Very often,Sometimes,Moderately accurate,Most satisfied,User-friendly website/app interface,Product quality and accuracy
44,35 - 44,Established Professionals,Male,Few times a month,Clothing and Fashion;Others,No,Few times a month,Categories,First page,Not important,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Never,Sometimes,Often,Yes,Moderately accurate,Satisfied,Product recommendations,Customer service responsiveness
31,25 - 34,Young Professionals,Female,Once a month,Home and Kitchen;Others,Sometimes,Rarely,Others,Multiple pages,Slightly important,No,Never,Changed my mind or no longer need the item,Often,Yes,Never,Sometimes,Rarely,No,Slightly accurate,Satisfied,User-friendly website/app interface,Reducing packaging waste
23,18 - 24,Young Adults,Female,Once a week,Clothing and Fashion,Sometimes,Few times a week,Categories,Multiple pages,Not important,No,Rarely,Others,Sometimes,No,Occasionally,Sometimes,Sometimes,Yes,Moderately accurate,Neutral,Product recommendations,Product quality and accuracy
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Others,Sometimes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,Often,Yes,Mostly accurate,Most satisfied,Wide product selection,Reducing packaging waste
22,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,Not important,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,Rarely,Sometimes,Mostly accurate,Neutral,Competitive prices,Customer service responsiveness
24,18 - 24,Young Adults,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,Very often,Yes,Highly accurate,Most satisfied,Wide product selection,Customer service responsiveness
25,25 - 34,Young Professionals,Male,Less than once a month,Others,Yes,Few times a month,Keyword,Multiple pages,Not important,Yes,Rarely,Others,Never,No,Moderately,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Customer service responsiveness
23,18 - 24,Young Adults,Male,Once a week,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,Extremely important,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,Very often,No,Mostly accurate,Satisfied,Competitive prices,Customer service responsiveness
